router_mode,concurrency,prefill_load_model,workers,tp_size,total_gpus,tps_gpu,tps_cluster,tps_user,tpot_ms,ttft_ms,e2e_ms,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
round_robin,32,none,8,4,32,19.102555360907996,611.2817715490559,45.17366277391924,52.85195620396069,1894.2004914104518,9515.976229222944,3.356221918916575,0.413126861620891,23608,411623.67449999996
round_robin,64,none,8,4,32,23.43825802154006,750.024256689282,33.5073156497296,106.48303136154674,2424.5098419860647,15498.694296157348,4.117982847158511,0.41317227403926765,23608,193213.1975
round_robin,128,none,8,4,32,27.444113008430172,878.2116162697655,22.52239381428405,194.85915742522366,3183.2214729150646,26405.12333852096,4.821791215043948,0.4131874115120599,23608,189380.58325
round_robin,256,none,8,4,32,31.12973115094078,996.151396830105,13.980883208960778,345.97765291768843,4444.625966652685,46390.67125623378,5.469335596460295,0.4130688346418542,23608,112363.34762500001
round_robin,512,none,8,4,32,34.64196943992927,1108.5430220777366,8.028089973627884,598.5104012690438,6832.965807619573,83064.49515042968,6.086418018536883,0.41305117425692994,23608,99899.429166
kv_router,32,none,8,4,32,22.480543405581212,719.3773889785988,44.11128818102125,100.9272929181258,1015.7209972081209,8082.029835508503,3.9497172551777813,0.49429399073275243,23608,391849.13825
kv_router,64,none,8,4,32,26.86601580071752,859.7125056229606,30.213937266844862,178.7783281174652,1236.046693621556,13497.891592323092,4.720222472897534,0.48867294250257626,23608,149870.07525000002
kv_router,128,none,8,4,32,30.93277773015079,989.8488873648253,18.78263361133571,279.66274295353725,1523.796245477417,23439.699529301943,5.434731881126289,0.48516609463904625,23608,127533.407542
kv_router,256,none,8,4,32,35.279068625215785,1128.9301960069051,11.463742162616592,403.14152363281727,1881.000227595341,40942.24611395729,6.198353108360429,0.49342610895933203,23608,64453.231042
kv_router,512,none,8,4,32,39.01245244271001,1248.3984781667202,6.751375701202001,627.3884964256758,2976.703654803204,73581.28892350053,6.854289676179226,0.4974753829312498,23608,93865.878083
kv_router_aic,32,aic,8,4,32,22.57923200039148,722.5354240125274,44.21516923624264,106.19049771808103,1040.7023124057787,8048.83767005485,3.9670563398599863,0.49932972334829623,23608,397425.526167
kv_router_aic,64,aic,8,4,32,26.949157339354127,862.373034859332,30.30746860767653,185.13937875475574,1297.9289773912744,13471.80835452389,4.734830018802919,0.4898082529619925,23608,158241.492333
kv_router_aic,128,aic,8,4,32,31.117353245466376,995.755303854924,18.927752549762655,279.7622981790645,1599.51484793327,23289.227132355714,5.467160861359226,0.48939197246020655,23608,132057.417667
kv_router_aic,256,aic,8,4,32,35.50615153315531,1136.19684906097,11.53964569773872,406.72559900795125,1994.069066850379,40761.65458167037,6.23825042150198,0.49461692348565306,23608,67704.51825000001
kv_router_aic,512,aic,8,4,32,39.423606875377196,1261.5554200120703,6.7962754026874865,625.2416321191686,3062.2583512508227,72958.82127571742,6.926527420968137,0.5022512555971939,23608,100161.43516699999
